"","year","msrp","accelrate","mpg","mpgmpge","carclass"
"1",1997,24509.74,7.46,41.26,41.26,"C"
"2",2000,35354.97,8.2,54.1,54.1,"C"
"3",2000,26832.25,7.97,45.23,45.23,"C"
"4",2000,18936.41,9.52,53,53,"TS"
"5",2001,25833.38,7.04,47.04,47.04,"C"
"6",2001,19036.71,9.52,53,53,"TS"
"7",2002,19137.01,9.71,53,53,"TS"
"8",2003,38084.77,8.33,40.46,40.46,"MV"
"9",2003,19137.01,9.52,53,53,"TS"
"10",2003,14071.92,8.62,41,41,"C"
"11",2004,36676.1,10.32,31.99,31.99,"SUV"
"12",2004,19237.31,9.35,52,52,"TS"
"13",2004,20355.64,9.9,46,46,"M"
"14",2004,30089.64,9.09,17,17,"PT"
"15",2005,58521.14,12.76,28.23,28.23,"SUV"
"16",2005,26354.44,7.63,39.99,39.99,"C"
"17",2005,29186.21,12.76,29.4,29.4,"SUV"
"18",2005,19387.76,9.71,52,52,"TS"
"19",2005,18236.33,8.26,41,41,"C"
"20",2005,19322.56,9.52,29,29,"SUV"
"21",2005,16343.69,14.93,28,28,"M"
"22",2005,32647.26,11.11,17,17,"PT"
"23",2006,34772.4,8.98,32.93,32.93,"SUV"
"24",2006,29853.25,11.28,33.64,33.64,"M"
"25",2006,64547.56,18.65,33.4,33.4,"M"
"26",2006,36012.7,9.26,47.04,47.04,"MV"
"27",2006,29524.75,13.29,32.93,32.93,"M"
"28",2007,42924.35,10.91,22.35,22.35,"SUV"
"29",2007,46229.48,12.76,25.87,25.87,"SUV"
"30",2007,118543.6,17.54,21,21,"M"
"31",2007,24823.83,11.28,31.75,31.75,"SUV"
"32",2007,57094.81,12.28,21.78,21.78,"SUV"
"33",2007,22110.87,10.87,27,27,"M"
"34",2007,22938.33,10.75,26,26,"SUV"
"35",2007,34653.23,11.49,17,17,"PT"
"36",2008,62290.38,8.7,37.16,37.16,"M"
"37",2008,78932.81,9.09,22.35,22.35,"SUV"
"38",2008,23744.06,9.52,30.11,85,"M"
"39",2008,18675.63,13.7,34,34,"M"
"40",2009,11849.43,7.87,35.28,35.28,"M"
"41",2009,46233.36,13.47,31.99,31.99,"SUV"
"42",2009,60519.83,12.6,23.99,23.99,"SUV"
"43",2009,24641.18,9.6,47.98,47.98,"C"
"44",2009,96208.93,13.89,26.34,26.34,"L"
"45",2009,30522.57,11.55,40.69,40.69,"M"
"46",2009,38478.15,11.55,54.1,54.1,"C"
"47",2009,21872.71,10.21,41.87,41.87,"C"
"48",2009,97237.9,17.96,18.82,18.82,"SUV"
"49",2009,39172.44,11.55,54.1,54.1,"M"
"50",2009,24768.79,9.09,29,29,"M"
"51",2009,26408.67,13.7,28,28,"SUV"
"52",2009,44903.77,13.51,21,21,"SUV"
"53",2009,41033.24,8.33,21,21,"SUV"
"54",2010,35787.29,8.85,68.21,68.21,"C"
"55",2010,21435.54,9.24,37,37,"TS"
"56",2010,23124.59,9.24,30.15,85,"M"
"57",2010,64198.95,15.38,28.7,28.7,"SUV"
"58",2010,37510.86,14.08,33.64,33.64,"SUV"
"59",2010,17045.06,12.05,29.4,38,"SUV"
"60",2010,14586.61,7.14,31.28,31.28,"M"
"61",2010,104300.43,20.41,22.11,22.11,"L"
"62",2010,37036.64,11.15,37.63,37.63,"M"
"63",2010,16911.85,8.26,30,30,"C"
"64",2010,28287.66,14.7,37,37,"M"
"65",2010,73183.47,14.71,26.11,26.11,"SUV"
"66",2010,19859.16,9.17,41,41,"C"
"67",2010,70157.02,18.65,33.64,33.64,"M"
"68",2010,42924.35,10.78,35,93,"C"
"69",2010,27968.32,12.35,29,29,"SUV"
"70",2010,28033.51,11.49,39,39,"M"
"71",2010,34753.53,11.76,35,35,"C"
"72",2010,30194.95,11.63,32,32,"SUV"
"73",2010,42812.54,13.89,30,30,"SUV"
"74",2010,55164.33,12.99,22,22,"SUV"
"75",2010,38454.56,11.76,22,22,"PT"
"76",2010,88212.78,12.99,21,21,"L"
"77",2011,22850.87,9.35,50,50,"C"
"78",2011,30082.16,9.71,42,42,"C"
"79",2011,24999.59,9.6,44.36,44.36,"C"
"80",2011,30588.35,10,72.92,72.92,"M"
"81",2011,45101.54,11.36,61.16,61.16,"C"
"82",2011,16394.36,7.52,58.8,58.8,"MV"
"83",2011,27948.93,12.05,25.99,25.99,"M"
"84",2011,27272.28,9.51,32.93,32.93,"M"
"85",2011,27972.07,6.29,50.81,50.81,"MV"
"86",2011,26549.16,10.54,36,36,"M"
"87",2011,30661.34,12.35,32,32,"SUV"
"88",2011,18254.38,9.52,41,41,"C"
"89",2011,34748.52,11.49,39,39,"M"
"90",2011,19402.8,12.2,37,37,"TS"
"91",2011,25872.07,11.9,36,36,"M"
"92",2011,27130.82,13.89,33,33,"M"
"93",2011,26213.09,12.5,32,32,"SUV"
"94",2011,67902.28,18.52,21,21,"SUV"
"95",2011,50149.39,16.13,21,21,"SUV"
"96",2011,102605.66,18.18,20,20,"M"
"97",2012,19006.62,9.35,50,50,"C"
"98",2012,32095.61,8.82,50,95,"M"
"99",2012,31739.55,11.11,37,98,"C"
"100",2012,62180.23,16.67,26,26,"M"
"101",2012,59126.14,16.95,31,31,"M"
"102",2012,18555.28,9.42,42,42,"C"
"103",2012,39261.96,11.11,37,94,"C"
"104",2012,26067.66,13.16,41,41,"M"
"105",2012,34858.84,11.49,39,39,"M"
"106",2012,53860.45,19.23,29,29,"M"
"107",2012,30049.52,11.36,29,29,"M"
"108",2012,61132.11,17.54,26,26,"M"
"109",2012,95283.85,17.54,25,25,"L"
"110",2012,52626.77,13.5,21,21,"SUV"
"111",2013,19080,8.7,50,50,"C"
"112",2013,24995,12.66,45,45,"C"
"113",2013,24360,10.2,44,44,"C"
"114",2013,24200,10.2,50,50,"M"
"115",2013,27200,11.72,47,47,"M"
"116",2013,25200,12.35,43,43,"L"
"117",2013,18600,11.76,42,42,"C"
"118",2013,26140,13.51,41,41,"M"
"119",2013,27670,13.33,40,40,"M"
"120",2013,25650,11.76,38,38,"M"
"121",2013,25900,11.63,38,38,"M"
"122",2013,30550,11.76,37,37,"M"
"123",2013,31950,11.36,37,37,"M"
"124",2013,24985,11.49,29,29,"M"
"125",2013,31660,11.36,29,29,"M"
"126",2013,29015,12.2,29,29,"M"
"127",2013,46310,12.99,30,30,"SUV"
"128",2013,40170,13.89,28,28,"SUV"
"129",2013,50900,14.71,26,26,"SUV"
"130",2013,69850,16.39,21,21,"SUV"
"131",2013,62575,16.13,21,21,"SUV"
"132",2013,74425,11.63,21,21,"SUV"
"133",2013,53620,11.9,21,21,"SUV"
"134",2013,54145,11.88,21,21,"SUV"
"135",2013,61960,13.33,21,21,"SUV"
"136",2013,35925,14.03,45,45,"M"
"137",2013,32050,10.31,42,42,"C"
"138",2013,39250,12.35,40,40,"M"
"139",2013,28900,9.26,38,38,"C"
"140",2013,49650,14.93,28,28,"C"
"141",2013,41135,12.35,21,21,"PT"
"142",2013,41555,10,21,21,"PT"
"143",2013,59450,16.67,31,31,"M"
"144",2013,54750,19.61,29,29,"M"
"145",2013,55800,14.93,26,26,"M"
"146",2013,61400,12.99,26,26,"M"
"147",2013,84300,18.18,25,25,"L"
"148",2013,96150,18.52,25,25,"L"
"149",2013,92350,13.89,21,21,"L"
"150",2013,32000,9.17,50,95,"M"
"151",2013,32950,11.76,43,100,"M"
"152",2013,38700,11.76,43,100,"M"
"153",2013,39145,11.11,37,98,"C"
